id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2097,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,698,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,536,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,111,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,432,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2668,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,832,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,190,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,112,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,378,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,217,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,144,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,2,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,8,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,2,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,8,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,13,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,279,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,266,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,780,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2582,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2299,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1411,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,10567,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,951,HEKTAR,2021
