id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_ubi_kayu,satuan,tahun
211,32,JAWA BARAT,3275,KOTA BEKASI,317,TON,2020
212,32,JAWA BARAT,3276,KOTA DEPOK,853,TON,2020
213,32,JAWA BARAT,3277,KOTA CIMAHI,732,TON,2020
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1623,TON,2020
215,32,JAWA BARAT,3279,KOTA BANJAR,1784,TON,2020
216,32,JAWA BARAT,3201,KABUPATEN BOGOR,113965,TON,2021
217,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,315399,TON,2021
218,32,JAWA BARAT,3203,KABUPATEN CIANJUR,64708,TON,2021
219,32,JAWA BARAT,3204,KABUPATEN BANDUNG,127655,TON,2021
220,32,JAWA BARAT,3205,KABUPATEN GARUT,504731,TON,2021
221,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48995,TON,2021
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65292,TON,2021
223,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,53250,TON,2021
224,32,JAWA BARAT,3209,KABUPATEN CIREBON,1593,TON,2021
225,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6696,TON,2021
226,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,135773,TON,2021
227,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,369,TON,2021
228,32,JAWA BARAT,3213,KABUPATEN SUBANG,46951,TON,2021
229,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22723,TON,2021
230,32,JAWA BARAT,3215,KABUPATEN KARAWANG,336,TON,2021
231,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
232,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,56250,TON,2021
233,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1956,TON,2021
234,32,JAWA BARAT,3271,KOTA BOGOR,4601,TON,2021
235,32,JAWA BARAT,3272,KOTA SUKABUMI,121,TON,2021
236,32,JAWA BARAT,3273,KOTA BANDUNG,223,TON,2021
237,32,JAWA BARAT,3274,KOTA CIREBON,34,TON,2021
238,32,JAWA BARAT,3275,KOTA BEKASI,896,TON,2021
239,32,JAWA BARAT,3276,KOTA DEPOK,513,TON,2021
240,32,JAWA BARAT,3277,KOTA CIMAHI,1076,TON,2021
241,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2843,TON,2021
242,32,JAWA BARAT,3279,KOTA BANJAR,3574,TON,2021
