id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produktivitas_kacang_hijau,satuan,tahun
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11.39,KUINTAL PER HEKTAR,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.82,KUINTAL PER HEKTAR,2019
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2.0,KUINTAL PER HEKTAR,2019
113,32,JAWA BARAT,3205,KABUPATEN GARUT,12.27,KUINTAL PER HEKTAR,2019
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,15.03,KUINTAL PER HEKTAR,2019
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14.36,KUINTAL PER HEKTAR,2019
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11.03,KUINTAL PER HEKTAR,2019
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.8,KUINTAL PER HEKTAR,2019
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10.57,KUINTAL PER HEKTAR,2019
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13.28,KUINTAL PER HEKTAR,2019
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,19.8,KUINTAL PER HEKTAR,2019
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.45,KUINTAL PER HEKTAR,2019
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13.73,KUINTAL PER HEKTAR,2019
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13.95,KUINTAL PER HEKTAR,2019
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,10.0,KUINTAL PER HEKTAR,2019
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,16.59,KUINTAL PER HEKTAR,2019
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.21,KUINTAL PER HEKTAR,2019
127,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2019
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2019
129,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2019
130,32,JAWA BARAT,3274,KOTA CIREBON,0.0,KUINTAL PER HEKTAR,2019
131,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2019
132,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2019
133,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2019
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,KUINTAL PER HEKTAR,2019
135,32,JAWA BARAT,3279,KOTA BANJAR,14.25,KUINTAL PER HEKTAR,2019
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,11.85,KUINTAL PER HEKTAR,2020
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10.64,KUINTAL PER HEKTAR,2020
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.2,KUINTAL PER HEKTAR,2020
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3.0,KUINTAL PER HEKTAR,2020
140,32,JAWA BARAT,3205,KABUPATEN GARUT,11.81,KUINTAL PER HEKTAR,2020
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,13.52,KUINTAL PER HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11.67,KUINTAL PER HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.66,KUINTAL PER HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,11.81,KUINTAL PER HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10.38,KUINTAL PER HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.09,KUINTAL PER HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,13.04,KUINTAL PER HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,17.24,KUINTAL PER HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14.08,KUINTAL PER HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,14.52,KUINTAL PER HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0.0,KUINTAL PER HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,KUINTAL PER HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.86,KUINTAL PER HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,10.64,KUINTAL PER HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,KUINTAL PER HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,13.15,KUINTAL PER HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,7.95,KUINTAL PER HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,11.19,KUINTAL PER HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10.24,KUINTAL PER HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0.0,KUINTAL PER HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,11.81,KUINTAL PER HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,13.44,KUINTAL PER HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12.22,KUINTAL PER HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10.65,KUINTAL PER HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,10.91,KUINTAL PER HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9.95,KUINTAL PER HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10.52,KUINTAL PER HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.16,KUINTAL PER HEKTAR,2021
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,9.29,KUINTAL PER HEKTAR,2021
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,15.53,KUINTAL PER HEKTAR,2021
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,16.89,KUINTAL PER HEKTAR,2021
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,4.0,KUINTAL PER HEKTAR,2021
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,26.32,KUINTAL PER HEKTAR,2021
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11.55,KUINTAL PER HEKTAR,2021
181,32,JAWA BARAT,3271,KOTA BOGOR,0.0,KUINTAL PER HEKTAR,2021
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0.0,KUINTAL PER HEKTAR,2021
183,32,JAWA BARAT,3273,KOTA BANDUNG,0.0,KUINTAL PER HEKTAR,2021
184,32,JAWA BARAT,3274,KOTA CIREBON,11.11,KUINTAL PER HEKTAR,2021
185,32,JAWA BARAT,3275,KOTA BEKASI,0.0,KUINTAL PER HEKTAR,2021
186,32,JAWA BARAT,3276,KOTA DEPOK,0.0,KUINTAL PER HEKTAR,2021
187,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,KUINTAL PER HEKTAR,2021
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,KUINTAL PER HEKTAR,2021
189,32,JAWA BARAT,3279,KOTA BANJAR,11.16,KUINTAL PER HEKTAR,2021
