id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,luas_panen,satuan,tahun
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2030,HEKTAR,2020
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1522,HEKTAR,2020
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1609,HEKTAR,2020
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,46,HEKTAR,2020
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,258,HEKTAR,2020
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6080,HEKTAR,2020
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10,HEKTAR,2020
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,926,HEKTAR,2020
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,856,HEKTAR,2020
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,33,HEKTAR,2020
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,HEKTAR,2020
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1850,HEKTAR,2020
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,75,HEKTAR,2020
154,32,JAWA BARAT,3271,KOTA BOGOR,201,HEKTAR,2020
155,32,JAWA BARAT,3272,KOTA SUKABUMI,21,HEKTAR,2020
156,32,JAWA BARAT,3273,KOTA BANDUNG,16,HEKTAR,2020
157,32,JAWA BARAT,3274,KOTA CIREBON,6,HEKTAR,2020
158,32,JAWA BARAT,3275,KOTA BEKASI,31,HEKTAR,2020
159,32,JAWA BARAT,3276,KOTA DEPOK,34,HEKTAR,2020
160,32,JAWA BARAT,3277,KOTA CIMAHI,35,HEKTAR,2020
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,94,HEKTAR,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,80,HEKTAR,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,3178,HEKTAR,2021
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7123,HEKTAR,2021
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2513,HEKTAR,2021
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3896,HEKTAR,2021
167,32,JAWA BARAT,3205,KABUPATEN GARUT,17523,HEKTAR,2021
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1875,HEKTAR,2021
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1559,HEKTAR,2021
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1436,HEKTAR,2021
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,57,HEKTAR,2021
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,205,HEKTAR,2021
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5156,HEKTAR,2021
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11,HEKTAR,2021
