id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_areal_tanam_kacang_hijau,luas_areal_tanam_ubi_kayu,luas_areal_tanam_ubi_jalar,luas_areal_tanam_kedelai,luas_areal_tanam_kacang_tanah
155,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2020,0,18,13,0,2
156,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2020,0,13,12,0,5
157,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2020,5,6,0,0,2
158,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2020,0,34,0,0,0
159,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2020,0,32,10,0,8
160,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2020,0,32,8,0,14
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2020,13,131,26,0,279
162,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2020,124,115,109,92,266
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2021,109,3447,2621,17,814
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2021,118,9877,890,3837,2485
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2021,243,2406,515,6332,2302
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2021,0,4621,2488,283,1405
167,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2021,651,18560,5472,1684,10564
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2021,9,1599,672,1842,889
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2021,132,1921,136,853,551
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2021,127,1316,3789,675,232
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2021,1797,56,277,49,30
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2021,1666,214,236,434,409
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2021,137,5100,896,463,2916
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2021,110,11,0,0,0
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2021,80,801,91,5,436
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2021,121,651,129,59,126
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2021,257,9,0,1406,147
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2021,5,0,0,0,0
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2021,2,1831,355,719,184
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2021,172,61,26,213,223
181,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2021,0,172,197,0,145
182,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2021,0,4,2,0,0
183,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2021,0,11,3,0,6
184,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2021,0,1,0,0,1
185,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2021,0,32,0,0,0
186,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2021,0,16,6,0,9
187,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2021,0,60,12,0,13
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2021,0,63,16,101,96
189,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2021,41,98,74,200,122
