id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,satuan,tahun,luas_panen_kedelai,luas_panen_kacang_tanah,luas_panen_kacang_hijau,luas_panen_ubi_kayu,luas_panen_ubi_jalar
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2020,70,112,99,33,0
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2020,0,1,0,6,0
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2020,991,378,0,1850,366
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2020,169,217,189,75,43
154,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2020,0,144,0,201,183
155,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2020,0,2,0,21,13
156,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2020,0,8,0,16,13
157,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2020,0,2,5,6,0
158,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2020,0,0,0,31,0
159,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2020,0,8,0,34,11
160,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2020,0,13,0,35,10
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2020,0,279,0,94,26
162,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2020,94,266,124,80,109
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,HEKTAR,2021,11,780,176,3178,2396
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HEKTAR,2021,3686,2582,108,7123,848
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,HEKTAR,2021,6287,2299,249,2513,536
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HEKTAR,2021,293,1411,0,3896,2499
167,32,JAWA BARAT,3205,KABUPATEN GARUT,HEKTAR,2021,1659,10567,651,17523,5292
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HEKTAR,2021,1841,951,9,1875,689
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HEKTAR,2021,786,559,133,1559,135
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HEKTAR,2021,676,269,103,1436,3783
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,HEKTAR,2021,49,33,1798,57,277
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HEKTAR,2021,418,325,1661,205,269
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HEKTAR,2021,463,2928,136,5156,896
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HEKTAR,2021,0,0,86,11,0
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,HEKTAR,2021,5,439,80,879,83
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HEKTAR,2021,60,125,113,615,122
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HEKTAR,2021,913,147,258,11,0
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,HEKTAR,2021,0,0,5,0,0
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HEKTAR,2021,715,204,2,1664,365
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HEKTAR,2021,213,223,172,48,20
181,32,JAWA BARAT,3271,KOTA BOGOR,HEKTAR,2021,0,133,0,155,186
182,32,JAWA BARAT,3272,KOTA SUKABUMI,HEKTAR,2021,0,0,0,4,2
183,32,JAWA BARAT,3273,KOTA BANDUNG,HEKTAR,2021,0,4,0,7,3
184,32,JAWA BARAT,3274,KOTA CIREBON,HEKTAR,2021,0,2,1,1,0
185,32,JAWA BARAT,3275,KOTA BEKASI,HEKTAR,2021,0,0,0,28,0
186,32,JAWA BARAT,3276,KOTA DEPOK,HEKTAR,2021,0,7,0,20,4
187,32,JAWA BARAT,3277,KOTA CIMAHI,HEKTAR,2021,0,14,0,37,11
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HEKTAR,2021,18,96,0,92,17
189,32,JAWA BARAT,3279,KOTA BANJAR,HEKTAR,2021,198,124,56,112,74
